CAT_is_male,age,number_of_juvenile_fellonies,number_of_juvenile_misdemeanors,number_of_other_juvenile_offenses,number_of_prior_offenses,days_before_screening_arrest,days_in_custody,CAT_race_African-American,CAT_race_Asian,CAT_race_Caucasian,CAT_race_Hispanic,CAT_race_Native American,CAT_race_Other,target,split
1,0.836065573770492,0.0,0.0,0.0,0.0,0.2483754512635378,0.0026090197540067,0,0,0,0,0,1,0,train
1,0.2622950819672132,0.0,0.0,0.0,0.0,0.2483754512635378,0.0037271710771524,1,0,0,0,0,0,1,train
1,0.4262295081967213,0.0,0.0,0.0,0.0,0.2490974729241877,0.0003727171077152,0,0,0,0,0,1,0,test
1,0.4098360655737705,0.0,0.0,0.0,0.0789473684210526,0.2483754512635378,0.0044726052925829,0,0,0,0,0,1,0,train
0,0.3442622950819672,0.0,0.0,0.0,0.0,0.2483754512635378,0.0011181513231457,0,0,1,0,0,0,0,val
1,0.0491803278688524,0.0,0.0,0.0,0.0263157894736842,0.5581227436823104,0.0003727171077152,0,0,1,0,0,0,1,train
1,0.1475409836065574,0.0,0.0,0.0,0.0,0.2483754512635378,0.0003727171077152,0,0,1,0,0,0,0,test
0,0.3114754098360656,0.0,0.0,0.0,0.0,0.2490974729241877,0.0003727171077152,0,0,1,0,0,0,0,train
1,0.3770491803278689,0.0,0.0,0.0,0.0,0.2483754512635378,0.0003727171077152,1,0,0,0,0,0,0,train
1,0.3114754098360656,0.0,0.0,0.0,0.0,0.2490974729241877,0.0,0,0,0,1,0,0,0,train
1,0.1147540983606557,0.0,0.0,0.0,0.0789473684210526,0.2483754512635378,0.0231084606783451,1,0,0,0,0,0,0,train
1,0.2131147540983606,0.0,0.0,0.0,0.1578947368421052,0.2483754512635378,0.0003727171077152,0,0,1,0,0,0,1,train
0,0.0491803278688524,0.0,0.0,0.0,0.0,0.247653429602888,0.0003727171077152,0,0,1,0,0,0,0,train
1,0.4098360655737705,0.0,0.0,0.0,0.0263157894736842,0.2483754512635378,0.0003727171077152,0,0,1,0,0,0,0,train
1,0.2295081967213115,0.0,0.0,0.0,0.0,0.2483754512635378,0.0007454342154304,0,0,0,0,0,1,0,test
1,0.1475409836065574,0.0,0.0,0.0,0.2105263157894736,0.2483754512635378,0.0003727171077152,1,0,0,0,0,0,1,train
0,0.2950819672131147,0.0,0.0,0.0,0.0789473684210526,0.2873646209386281,0.0003727171077152,0,0,1,0,0,0,0,train
1,0.2459016393442623,0.0,0.0,0.0,0.0,0.2490974729241877,0.0078270592620201,1,0,0,0,0,0,1,test
1,0.6065573770491803,0.0,0.0,0.0,0.0,0.2483754512635378,0.0007454342154304,0,0,1,0,0,0,0,train
1,0.1311475409836066,0.0,0.0,0.1176470588235294,0.1578947368421052,0.3075812274368231,0.0044726052925829,0,0,1,0,0,0,0,train
1,0.180327868852459,0.0,0.0,0.0,0.0,0.2490974729241877,0.0,0,0,1,0,0,0,0,val
0,0.0491803278688524,0.0,0.0,0.0,0.0526315789473684,0.2483754512635378,0.0003727171077152,1,0,0,0,0,0,0,test
1,0.5409836065573771,0.0,0.0,0.0,0.0526315789473684,0.2483754512635378,0.0003727171077152,1,0,0,0,0,0,0,train
0,0.5409836065573771,0.0,0.0,0.0,0.1842105263157894,0.2483754512635378,0.0029817368617219,1,0,0,0,0,0,0,train
1,0.1147540983606557,0.0,0.0,0.0,0.2368421052631578,0.2483754512635378,0.0033544539694371,0,0,1,0,0,0,1,train
1,0.278688524590164,0.05,0.0,0.2352941176470588,0.3421052631578947,0.2483754512635378,0.0003727171077152,1,0,0,0,0,0,1,train
