CAT_is_male,parental_level_of_education,CAT_has_standard_lunch,CAT_has_completed_preparation_test,reading_score,writing_score,CAT_ethnicity_group A,CAT_ethnicity_group B,CAT_ethnicity_group C,CAT_ethnicity_group D,CAT_ethnicity_group E,target,split
0,0.4,1,1,0.6,0.7411764705882353,0,0,0,1,0,0,train
1,1.0,1,0,0.9066666666666666,0.8470588235294116,0,0,0,1,0,1,val
0,0.4,0,0,0.68,0.7294117647058824,0,0,0,1,0,0,test
1,0.4,0,0,0.6,0.5647058823529412,0,1,0,0,0,1,train
0,1.0,1,0,0.7999999999999999,0.8352941176470587,0,0,0,1,0,1,train
1,0.0,1,0,0.42666666666666664,0.4588235294117647,0,0,1,0,0,1,train
0,1.0,1,0,0.7733333333333333,0.7647058823529411,0,0,0,0,1,1,test
0,0.0,1,0,0.48,0.5058823529411764,0,1,0,0,0,0,train
1,0.0,1,0,0.6666666666666666,0.6823529411764706,0,0,1,0,0,1,train
0,0.6000000000000001,1,1,0.5866666666666667,0.7294117647058824,0,0,1,0,0,0,test
1,0.0,1,0,0.5866666666666667,0.6352941176470588,0,1,0,0,0,1,train
1,0.8,1,0,0.33333333333333337,0.39999999999999997,0,1,0,0,0,0,val
1,0.6000000000000001,0,0,0.6533333333333333,0.7176470588235293,0,1,0,0,0,1,train
1,0.4,1,0,0.64,0.6470588235294117,1,0,0,0,0,1,train
1,0.8,0,0,0.3866666666666667,0.4352941176470589,0,0,1,0,0,0,val
1,0.8,0,0,0.28,0.32941176470588235,0,0,0,0,1,0,train
0,0.4,0,0,0.29333333333333333,0.3058823529411765,0,0,1,0,0,0,train
0,0.2,1,0,0.8933333333333334,0.776470588235294,0,0,1,0,0,1,val
0,1.0,0,0,0.7600000000000001,0.8235294117647058,0,0,0,0,1,1,train
0,1.0,1,1,0.6133333333333334,0.6941176470588235,0,0,0,1,0,1,train
1,0.2,0,0,0.5466666666666666,0.5529411764705883,0,0,1,0,0,1,train
0,1.0,1,1,0.6133333333333334,0.7176470588235293,0,0,0,1,0,1,train
0,0.4,1,0,0.6133333333333334,0.6588235294117648,0,1,0,0,0,1,train
1,1.0,1,0,0.84,0.8352941176470587,0,0,0,0,1,1,test
1,1.0,1,1,0.7999999999999999,0.8588235294117645,0,0,0,1,0,1,test
1,0.4,1,0,0.7733333333333333,0.6705882352941177,0,1,0,0,0,1,test
1,0.2,0,0,0.36,0.4235294117647059,0,0,0,1,0,0,train
1,0.0,1,0,0.5466666666666666,0.5176470588235293,0,0,0,1,0,1,train
0,1.0,1,0,0.7200000000000001,0.6588235294117648,0,0,0,0,1,1,test
1,1.0,1,0,0.8266666666666668,0.8352941176470587,0,0,0,1,0,1,val
0,1.0,1,1,0.7466666666666667,0.8235294117647058,0,1,0,0,0,1,train
0,1.0,0,0,0.68,0.7529411764705882,0,0,0,1,0,1,test
0,0.2,0,1,0.7066666666666667,0.7058823529411764,0,1,0,0,0,1,train
0,0.8,0,0,0.1333333333333333,0.25882352941176473,0,0,0,1,0,0,train
1,0.2,1,1,0.7600000000000001,0.7882352941176471,0,0,0,1,0,1,train
0,0.0,1,0,0.3733333333333333,0.4588235294117647,1,0,0,0,0,0,train
0,0.4,0,0,0.6533333333333333,0.7058823529411764,0,0,0,0,1,1,val
1,1.0,1,1,0.5466666666666666,0.6705882352941177,0,0,0,1,0,1,test
1,1.0,0,1,0.7999999999999999,0.8470588235294116,0,0,1,0,0,1,train
1,0.8,1,0,0.7999999999999999,0.7411764705882353,0,0,0,0,1,1,train
1,1.0,0,1,0.28,0.38823529411764707,0,0,1,0,0,0,train
1,1.0,1,1,0.7600000000000001,0.7294117647058824,0,0,1,0,0,1,train
1,0.2,1,0,0.7600000000000001,0.6705882352941177,0,1,0,0,0,1,train
1,0.4,1,0,0.64,0.611764705882353,0,0,0,1,0,1,train
0,0.2,1,0,0.41333333333333333,0.4588235294117647,0,1,0,0,0,0,train
1,0.6000000000000001,1,0,0.6133333333333334,0.588235294117647,0,0,1,0,0,1,train
1,1.0,1,1,0.7600000000000001,0.8823529411764706,1,0,0,0,0,1,train
1,0.4,1,1,0.68,0.6235294117647059,0,0,1,0,0,1,train
0,0.2,1,0,0.36,0.4823529411764706,0,0,0,0,1,0,test
1,0.0,1,1,0.6933333333333335,0.7647058823529411,0,0,0,1,0,1,test
0,0.2,0,1,0.6933333333333335,0.6941176470588235,0,0,0,0,1,1,test
