fixed_acidity <= 0.1458333358168602,fixed_acidity <= 0.3125,fixed_acidity <= 0.40416666865348816,fixed_acidity <= 0.5041666626930237,volatile_acidity <= 0.14166666567325592,volatile_acidity <= 0.14999999850988388,volatile_acidity <= 0.19833333790302277,volatile_acidity <= 0.20499999821186066,volatile_acidity <= 0.22500000149011612,volatile_acidity <= 0.2566666603088379,volatile_acidity <= 0.27166667580604553,volatile_acidity <= 0.31833332777023315,volatile_acidity <= 0.3216666579246521,volatile_acidity <= 0.4350000023841858,volatile_acidity <= 0.49666666984558105,residual_sugar <= 0.03757668845355511,residual_sugar <= 0.08512270078063011,residual_sugar <= 0.12346625700592995,chlorides <= 0.006644518114626408,chlorides <= 0.05232558026909828,chlorides <= 0.057308970019221306,chlorides <= 0.06063123047351837,chlorides <= 0.06229235790669918,chlorides <= 0.06561461463570595,chlorides <= 0.0672757439315319,chlorides <= 0.07724252715706825,chlorides <= 0.07890365645289421,chlorides <= 0.08222591504454613,chlorides <= 0.08388704434037209,chlorides <= 0.08554817363619804,chlorides <= 0.087209302932024,chlorides <= 0.09053156152367592,chlorides <= 0.09717607870697975,chlorides <= 0.10049833729863167,chlorides <= 0.18853820860385895,total_sulfur_dioxide <= 0.049539169296622276,total_sulfur_dioxide <= 0.06336405500769615,total_sulfur_dioxide <= 0.07027649879455566,total_sulfur_dioxide <= 0.10023041442036629,total_sulfur_dioxide <= 0.1071428582072258,total_sulfur_dioxide <= 0.10944700613617897,total_sulfur_dioxide <= 0.11175115033984184,total_sulfur_dioxide <= 0.1394009217619896,total_sulfur_dioxide <= 0.14170507341623306,total_sulfur_dioxide <= 0.15092165768146515,total_sulfur_dioxide <= 0.15322580188512802,total_sulfur_dioxide <= 0.19239631295204163,total_sulfur_dioxide <= 0.19700460880994797,total_sulfur_dioxide <= 0.21543779224157333,total_sulfur_dioxide <= 0.22235023230314255,total_sulfur_dioxide <= 0.23156682401895523,total_sulfur_dioxide <= 0.24769585579633713,total_sulfur_dioxide <= 0.28456221520900726,total_sulfur_dioxide <= 0.328341007232666,total_sulfur_dioxide <= 0.3306451588869095,total_sulfur_dioxide <= 0.3375575989484787,total_sulfur_dioxide <= 0.33870966732501984,total_sulfur_dioxide <= 0.3444700539112091,total_sulfur_dioxide <= 0.6198156774044037,density <= 0.0696239173412323,density <= 0.11822565272450447,density <= 0.11909353733062744,density <= 0.1405978798866272,density <= 0.14223722368478775,density <= 0.148601733148098,pH <= 0.31102362275123596,pH <= 0.31889763474464417,pH <= 0.36614173650741577,pH <= 0.437007874250412,pH <= 0.4606299102306366,pH <= 0.6968504190444946,pH <= 0.7204724550247192,pH <= 0.7362204790115356,sulphates <= 0.11271676048636436,sulphates <= 0.14739884436130524,sulphates <= 0.16473988443613052,sulphates <= 0.17630057781934738,sulphates <= 0.18786127120256424,sulphates <= 0.24566473811864853,sulphates <= 0.2745664715766907,sulphates <= 0.2803468108177185,sulphates <= 0.48843930661678314,sulphates <= 0.7341040372848511,sulphates <= 0.4421965330839157,target,split
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,train
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,train
