CAT_is_male <= 0.5,age <= 0.024590162560343742,age <= 0.04098360612988472,age <= 0.05737704783678055,age <= 0.0901639349758625,age <= 0.10655737668275833,age <= 0.13934426009655,age <= 0.15573770552873611,age <= 0.180327869951725,age <= 0.18852458894252777,age <= 0.2049180343747139,age <= 0.23770491778850555,age <= 0.2540983557701111,age <= 0.3360655754804611,age <= 0.4344262331724167,age <= 0.4508196711540222,number_of_juvenile_fellonies <= 0.02500000037252903,number_of_juvenile_fellonies <= 0.22500000149011612,number_of_juvenile_misdemeanors <= 0.0625,number_of_juvenile_misdemeanors <= 0.1875,number_of_other_juvenile_offenses <= 0.029411764815449715,number_of_prior_offenses <= 0.03947368450462818,number_of_prior_offenses <= 0.06578947231173515,number_of_prior_offenses <= 0.09210526198148727,number_of_prior_offenses <= 0.17105262726545334,number_of_prior_offenses <= 0.22368421405553818,number_of_prior_offenses <= 0.2500000074505806,number_of_prior_offenses <= 0.5789473652839661,days_before_screening_arrest <= 0.22635379433631897,days_before_screening_arrest <= 0.235740065574646,days_before_screening_arrest <= 0.2472924143075943,days_before_screening_arrest <= 0.248014435172081,days_before_screening_arrest <= 0.2487364560365677,days_before_screening_arrest <= 0.25162453949451447,days_before_screening_arrest <= 0.2566787004470825,days_before_screening_arrest <= 0.2574007213115692,days_before_screening_arrest <= 0.25776173174381256,days_before_screening_arrest <= 0.25992780923843384,days_before_screening_arrest <= 0.26317690312862396,days_before_screening_arrest <= 0.438628152012825,days_before_screening_arrest <= 0.5444043576717377,days_before_screening_arrest <= 0.6837545335292816,days_in_custody <= 0.0005590756481979042,days_in_custody <= 0.0009317927761003375,days_in_custody <= 0.0016772269736975431,days_in_custody <= 0.002049944130703807,days_in_custody <= 0.0068952664732933044,days_in_custody <= 0.00838613510131836,days_in_custody <= 0.010063362307846546,days_in_custody <= 0.03410361520946026,days_in_custody <= 0.039694372564554214,days_in_custody <= 0.07062989100813866,days_in_custody <= 0.07081624865531921,days_in_custody <= 0.13920984417200089,days_in_custody <= 0.1910175159573555,CAT_race_African-American <= 0.5,age <= 0.6147540807723999,target,split
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,train
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,train
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
