age_of_wife <= 0.04545454680919647,age_of_wife <= 0.22727273404598236,age_of_wife <= 0.25757576525211334,age_of_wife <= 0.3484848588705063,age_of_wife <= 0.37878789007663727,age_of_wife <= 0.43939395248889923,age_of_wife <= 0.560606062412262,age_of_wife <= 0.6212121248245239,age_of_wife <= 0.6515151560306549,age_of_wife <= 0.7727272808551788,age_of_wife <= 0.8030303120613098,age_of_wife <= 0.9242424368858337,age_of_wife <= 0.9545454680919647,education_level_of_wife <= 0.5000000149011612,education_level_of_wife <= 0.8333333432674408,education_level_of_husband <= 0.5000000149011612,number_of_born_children <= 0.03846153989434242,number_of_born_children <= 0.11538461968302727,number_of_born_children <= 0.19230769574642181,CAT_is_wife_muslim <= 0.5,standard_of_living <= 0.5000000149011612,CAT_is_media_exposure_negative <= 0.5,number_of_born_children <= 0.5000000149011612,target,split
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,train
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,train
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,train
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,train
