sepal_length <= 0.3194444477558136,sepal_width <= 0.25,petal_length <= 0.23275861889123917,petal_length <= 0.6465517282485962,petal_length <= 0.6637930870056152,petal_length <= 0.6982758641242981,petal_width <= 0.2916666641831398,petal_width <= 0.6875,sepal_length <= 0.4861111044883728,target,split
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,train
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2,train
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,train
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,train
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,train
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,train
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,train
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,val
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,val
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,val
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,val
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,val
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,val
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,val
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,val
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,val
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,val
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,val
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,val
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,test
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,test
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,test
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,test
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,test
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,test
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,test
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,test
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,test
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,test
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,test
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,test
